vehicle_id,lat,lon,direction,timestamp,stop_sequence,trip_id,route_id,agency
y3243,42.375335693359375,-71.11929321289062,1,2026-03-31 17:12:41,1,73584325,66,MBTA
y3220,42.33164596557617,-71.09598541259766,0,2026-03-31 17:12:49,7,73583886,66,MBTA
y3219,42.329884,-71.086674,1,2026-03-31 17:12:49,35,73583999,66,MBTA
y3217,42.354195,-71.13606,1,2026-03-31 17:12:49,14,73584007,66,MBTA
y3130,42.392674,-71.034033,0,2026-03-31 17:12:47,7,73901741,111,MBTA
y3128,42.367648,-71.059052,1,2026-03-31 17:12:48,22,73901750,111,MBTA
y2112,42.38548,-71.0734,1,2026-03-31 17:12:42,1,73901758,111,MBTA
y2110,42.36165,-71.05742,0,2026-03-31 17:12:40,1,73901970,111,MBTA
y2104,42.408041,-71.029452,0,2026-03-31 17:12:49,20,73901745,111,MBTA
y2089,42.36817,-71.059399,0,2026-03-31 17:12:49,3,73901931,111,MBTA
y2082,42.412221,-71.031362,0,2026-03-31 17:12:49,23,73901755,111,MBTA
y2074,42.415638,-71.033707,1,2026-03-31 17:12:48,1,73901808,111,MBTA
y2058,42.391487,-71.039399,1,2026-03-31 17:12:51,22,73901821,111,MBTA
y2024,42.401187,-71.034204,1,2026-03-31 17:12:49,14,73901759,111,MBTA
y2014,42.396054,-71.032637,1,2026-03-31 17:12:49,17,73901896,111,MBTA
y2012,42.403314,-71.036245,0,2026-03-31 17:12:50,15,73901744,111,MBTA
y1998,42.362239,-71.058381,0,2026-03-31 17:12:47,1,73901779,111,MBTA
y1977,42.36239,-71.05699,0,2026-03-31 17:12:30,1,73901855,111,MBTA
y1927,42.372323,-71.060209,0,2026-03-31 17:12:44,3,73901753,111,MBTA
y2065,42.35128,-71.16727,1,2026-03-31 17:12:44,1,73870793,64,MBTA
y2053,42.357334,-71.146647,0,2026-03-31 17:12:45,21,73870775,64,MBTA
y1993,42.362508,-71.11229,1,2026-03-31 17:12:25,18,73870772,64,MBTA
y1979,42.36454,-71.08961,0,2026-03-31 17:12:41,3,73870829,64,MBTA
y0759,42.300102,-71.061302,1,2026-03-31 17:12:39,19,74122265,201,MBTA
y1707,42.286334,-71.128696,0,2026-03-31 17:12:49,8,74213415,50,MBTA
y1690,42.286635,-71.127909,1,2026-03-31 17:12:47,21,74213399,50,MBTA
y1675,42.310521,-71.103521,0,2026-03-31 17:12:50,14,74213212,42,MBTA
y1668,42.317616,-71.096583,1,2026-03-31 17:12:47,11,74213206,42,MBTA
y2083,42.40863,-71.13727,1,2026-03-31 17:12:48,7,73870288,87,MBTA
y2054,42.377619,-71.089981,1,2026-03-31 17:12:51,32,73870168,87,MBTA
y2031,42.396617,-71.121707,0,2026-03-31 17:12:46,19,73870321,87,MBTA
y1981,42.37909,-71.09386,0,2026-03-31 17:12:39,5,73870182,87,MBTA
y1948,42.37251,-71.0773,0,2026-03-31 17:12:17,1,73870241,87,MBTA
y2043,42.36415,-71.08782,1,2026-03-31 17:12:41,9,73869037,85,MBTA
y3147,42.36177,-71.10064,0,2026-03-31 17:12:35,1,73869708,70,MBTA
y2097,42.375079,-71.211308,1,2026-03-31 17:12:50,19,73869682,70,MBTA
y2095,42.375679,-71.237023,0,2026-03-31 17:12:47,42,73869544,70,MBTA
y2094,42.363314,-71.132502,0,2026-03-31 17:12:51,11,73869533,70,MBTA
y2090,42.381528,-71.262113,1,2026-03-31 17:12:42,1,73869621,70,MBTA
y2063,42.363149,-71.132071,1,2026-03-31 17:12:49,29,73869585,70,MBTA
y2033,42.383492,-71.075895,0,2026-03-31 17:12:49,1,73869571,70,MBTA
y2029,42.365238,-71.105275,0,2026-03-31 17:12:43,4,73869530,70,MBTA
y2003,42.363105,-71.130346,1,2026-03-31 17:12:51,40,73869537,70,MBTA
y1965,42.367601,-71.187695,0,2026-03-31 17:12:51,25,73869539,70,MBTA
y1951,42.376692,-71.233852,1,2026-03-31 17:12:49,3,73869660,70,MBTA
y1928,42.377776,-71.225762,0,2026-03-31 17:12:53,37,73869534,70,MBTA
y1875,42.33183,-71.08184,0,2026-03-31 17:13:37,3,73604015,1,MBTA
y1864,42.361575,-71.097335,1,2026-03-31 17:13:53,9,73604035,1,MBTA
y1813,42.34875,-71.08854,1,2026-03-31 17:13:44,12,73604019,1,MBTA
y1811,42.333873,-71.073547,1,2026-03-31 17:13:56,19,73604036,1,MBTA
y1807,42.33145,-71.07746,1,2026-03-31 17:13:54,21,73604017,1,MBTA
y1796,42.3731,-71.1177,1,2026-03-31 17:13:38,1,73604024,1,MBTA
y1777,42.346633,-71.087384,0,2026-03-31 17:13:53,13,73604034,1,MBTA
y1770,42.337294,-71.077909,0,2026-03-31 17:13:56,9,73604033,1,MBTA
y1760,42.350053,-71.089094,1,2026-03-31 17:13:56,11,73604048,1,MBTA
y1748,42.33268,-71.08061,1,2026-03-31 17:13:42,22,73604021,1,MBTA
y1747,42.364319,-71.101812,0,2026-03-31 17:13:54,18,73604018,1,MBTA
y1730,42.32982,-71.08367,0,2026-03-31 17:13:39,1,73604030,1,MBTA
y1729,42.37305,-71.11751,1,2026-03-31 17:13:33,1,73604032,1,MBTA
y1918,42.305236,-71.080374,0,2026-03-31 17:13:57,18,73604241,23,MBTA
y1910,42.322832,-71.082497,0,2026-03-31 17:13:53,9,73604239,23,MBTA
y1902,42.30343,-71.078548,1,2026-03-31 17:13:56,11,73604236,23,MBTA
y1893,42.334422,-71.08964,0,2026-03-31 17:13:55,2,73604246,23,MBTA
y1891,42.309685,-71.082785,0,2026-03-31 17:13:57,16,73604253,23,MBTA
y1843,42.329338,-71.083431,0,2026-03-31 17:13:58,6,73604223,23,MBTA
y1838,42.299576,-71.073869,0,2026-03-31 17:13:51,21,73604230,23,MBTA
y1833,42.311693,-71.082868,1,2026-03-31 17:13:50,16,73604252,23,MBTA
y1830,42.29175,-71.071646,1,2026-03-31 17:13:55,5,73604232,23,MBTA
y1825,42.33139,-71.091255,1,2026-03-31 17:13:53,28,73604254,23,MBTA
y1802,42.32151,-71.081758,1,2026-03-31 17:13:56,21,73604225,23,MBTA
y1794,42.33519,-71.08997,1,2026-03-31 17:13:40,31,73604251,23,MBTA
y1793,42.300694,-71.07558,0,2026-03-31 17:13:55,20,73604255,23,MBTA
y1786,42.284029,-71.063731,1,2026-03-31 17:13:25,1,73604235,23,MBTA
